ID,FrameRdy,Stamp,Roll,Pitch,Yaw,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,PoseX,PoseY,PoseZ,
1,1,0.309,-0.00265293,0.000160342,-0.00858821,0.00509469,-0.0495651,-10.3837,0.481519,-0.000982479,-0.0103181,-0.0121545,0.028001,9.85329,
2,1,0.319,0.00173994,0.000248417,-0.00880074,-0.00454694,-0.00126702,-9.6796,0.640664,-0.00782742,-0.00118953,-0.0103909,0.0274864,9.85395,
3,0,0.33,0.0062951,0.000241667,-0.00879087,0.00272155,0.0532068,-9.2162,0.223078,0.00141194,0.00581316,-0.0133046,0.0273624,9.85407,
4,0,0.341,0.00572501,0.000227728,-0.00878353,0.00179526,0.0662248,-10.2092,-0.298227,-0.00222143,-0.00096772,-0.0133046,0.0273624,9.85407,
5,0,0.351,0.00024997,0.00021749,-0.00882283,-0.00671501,0.0057557,-10.0054,-0.64256,-0.00313972,-0.00753814,-0.0125347,0.0272791,9.8541,
6,0,0.362,-0.00416175,0.00019438,-0.00882941,-0.00262912,-0.0520163,-9.20633,-0.301178,-0.00411625,-0.000825793,-0.0125347,0.0272791,9.8541,
7,0,0.372,-0.00373284,0.000174699,-0.00883771,-0.000637363,-0.0622124,-10.3545,0.333677,0.000262552,-0.000873581,-0.0101296,0.0272019,9.85417,
8,0,0.382,0.00118839,0.000153081,-0.00884644,-0.00878304,0.00564765,-9.62124,0.616697,-0.00695723,-0.00100636,-0.0118427,0.0270755,9.85421,
9,0,0.393,0.00593954,0.00012861,-0.00890728,0.00524641,0.0501435,-9.23369,0.262709,7.13038e-05,-0.00811766,-0.0118427,0.0270755,9.85421,
10,0,0.403,0.00544711,0.000118891,-0.00892351,0.00246902,0.0662903,-10.2973,-0.315184,-0.00128079,-0.00110887,-0.0138045,0.0269573,9.85426,
11,0,0.414,0.00116521,0.000117247,-0.00888842,0.00206065,0.0322072,-10.309,-0.647092,0.0043759,0.00576355,-0.0138045,0.0269573,9.85426,
12,1,0.424,-0.00192019,0.000107837,-0.00885879,0.00481046,-0.0106061,-9.6738,-0.578951,-0.000717283,0.00585619,-0.0118101,0.0268815,9.85431,
13,0,0.434,-0.0043192,0.000135996,-0.00880756,0.00147726,-0.0668332,-10.188,0.28146,0.00440086,-0.000750637,-0.0104009,0.0268009,9.85435,
14,0,0.446,0.00106709,0.000151327,-0.00881481,-0.00793027,-0.00883462,-10.0677,0.635984,-0.00409422,-0.000768334,-0.0104009,0.0268009,9.85435,
15,0,0.456,0.00562271,0.000161727,-0.00882235,0.0049313,0.0460253,-9.2093,0.323134,0.000749986,-0.000879895,-0.0129791,0.0266945,9.85442,
16,0,0.466,0.0054003,0.000185647,-0.00888694,0.00289437,0.064928,-10.3132,-0.31483,0.00285618,-0.00724433,-0.0138768,0.0266003,9.85444,
17,0,0.476,-0.000108146,0.000217833,-0.0090107,-0.00616616,-0.00457814,-9.8381,-0.625311,-0.000106908,-0.0130331,-0.0138768,0.0266003,9.85444,
18,0,0.487,-0.00458491,0.0002411,-0.00907647,0.00022344,-0.0516978,-9.3063,-0.2199,0.00116542,-0.00479546,-0.0110338,0.0265384,9.85451,
19,0,0.496,-0.00324248,0.000280372,-0.00912017,-0.00530359,-0.0560744,-10.5798,0.419219,0.00181394,-0.00399367,-0.0110338,0.0265384,9.85451,
20,0,0.507,0.00285134,0.000300722,-0.00904797,0.00839324,-0.00250553,-9.69116,0.655112,0.00161395,0.0143777,-0.0119975,0.026442,9.85454,
21,0,0.518,0.00714241,0.000320719,-0.00896203,-0.0032058,0.0629304,-9.28609,0.174214,0.00106403,0.00588748,-0.014727,0.0263282,9.85463,
22,1,0.536,0.00642967,0.00031665,-0.00892242,0.00288136,0.0685248,-10.1917,-0.30871,0.000335938,0.00523042,-0.012957,0.0262418,9.85467,
23,0,0.548,-0.00463752,0.000273539,-0.00887121,0.00229758,-0.0548994,-9.14716,-0.22754,-0.00351581,0.0028384,-0.012957,0.0262418,9.85467,
24,0,0.557,-0.00325409,0.000238532,-0.00884742,-0.00341894,-0.060072,-10.4835,0.427591,-0.00827439,0.00204687,-0.0110682,0.0261342,9.8547,
25,0,0.568,0.00348607,0.000207595,-0.00892458,0.0035349,0.0138691,-9.55861,0.617056,0.00409234,-0.0079396,-0.0110682,0.0261342,9.8547,
26,0,0.579,0.00696786,0.000185843,-0.00900567,-0.000561412,0.0638141,-9.3242,0.0792559,-0.0024497,-0.00795091,-0.0139975,0.0259842,9.85471,
27,0,0.588,0.00425802,0.00016889,-0.00903122,0.00086465,0.0597491,-10.8365,-0.541704,-0.00422651,-0.00960246,-0.0144736,0.0258616,9.85465,
28,0,0.599,-0.00201298,0.000160299,-0.00904879,0.000356666,-0.0150368,-9.56934,-0.582618,0.0026293,-0.00130137,-0.0144736,0.0258616,9.85465,
29,0,0.609,-0.00491455,0.000140664,-0.00906764,-0.000961248,-0.0630054,-9.53353,-0.0120094,-0.00156507,-0.00114307,-0.0115034,0.0257693,9.85463,
