Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,0.0109039,-0.103274,0.299466,0.0181827,-0.0645381,-0.299466,9.09989,
2.87151,38.0579,2.87231,38.0358,0.0221564,0.0136257,-0.103478,0.2997,0.0211427,-0.065561,-0.299366,9.09989,
2.87838,38.1378,2.89084,38.4378,0.300264,0.0129674,-0.0983754,0.302074,0.0216127,-0.0643507,-0.298566,9.29988,
2.89905,38.2021,2.89084,38.4378,0.235856,0.00943289,-0.0990742,0.300185,0.0196727,-0.0625247,-0.297896,9.29988,
2.93202,38.2851,2.89084,38.4378,0.15819,0.00799365,-0.0953693,0.299947,0.0184927,-0.0625626,-0.297996,9.29988,
2.96764,38.3842,2.89084,38.4378,0.0936721,0.00619895,-0.0920106,0.300659,0.0182227,-0.0614454,-0.296736,9.29988,
2.99914,38.4854,2.90937,38.8523,0.37777,0.00460269,-0.0894377,0.300165,0.0168627,-0.0602638,-0.296116,9.39988,
3.0479,38.5629,2.90937,38.8523,0.320882,-0.000160908,-0.09079,0.299858,0.0147227,-0.0604157,-0.296236,9.39988,
3.09043,38.6532,2.90937,38.8523,0.269106,-0.00135105,-0.0886827,0.300332,0.0134027,-0.0591442,-0.296106,9.39988,
3.11963,38.7671,2.90937,38.8523,0.226853,0.0020677,-0.084507,0.300905,0.0129427,-0.0601922,-0.295926,9.39988,
3.13152,38.8887,2.94644,39.2417,0.39856,0.00545988,-0.0833387,0.301525,0.0135227,-0.0610434,-0.296966,9.59988,
3.15946,38.9736,2.94644,39.2417,0.34243,0.000654016,-0.0880867,0.303357,0.0133227,-0.0607306,-0.296996,9.59988,
3.19201,39.0683,2.94644,39.2417,0.300634,-0.00102905,-0.0851964,0.302628,0.0118427,-0.06048,-0.297436,9.59988,
3.22839,39.1447,2.94644,39.2417,0.29818,-0.00259865,-0.0877539,0.302697,0.0107127,-0.0626302,-0.298126,9.59988,
3.26396,39.2347,2.9835,39.6311,0.4856,-0.00379616,-0.0879256,0.303596,0.00999265,-0.0646245,-0.298696,9.69988,
3.30875,39.3039,2.9835,39.6311,0.46138,-0.00787508,-0.0921849,0.304274,0.00813265,-0.0659657,-0.298276,9.69988,
3.35564,39.3691,2.9835,39.6311,0.455148,-0.00991838,-0.0939875,0.304043,0.00659265,-0.0666716,-0.298716,9.69988,
3.41082,39.4401,2.9835,39.6311,0.46805,-0.0132656,-0.0937106,0.303002,0.00373265,-0.0678981,-0.297806,9.69988,
3.48205,39.5393,3.03909,40.0205,0.654067,-0.0166869,-0.0895469,0.301732,-0.000312654,-0.0684781,-0.297296,9.89987,
3.54877,39.6099,3.03909,40.0205,0.654501,-0.0206795,-0.0910565,0.302146,-0.00222265,-0.0679126,-0.297196,9.89987,
3.61462,39.6708,3.03909,40.0205,0.67342,-0.0237613,-0.0927595,0.301101,-0.00504265,-0.0670568,-0.296596,9.89987,
3.66216,39.7603,3.03909,40.0205,0.675226,-0.0197208,-0.0862204,0.296554,-0.00636265,-0.065988,-0.296236,9.89987,
3.70034,39.8419,3.11322,40.3974,0.808271,-0.0207743,-0.0859181,0.296037,-0.00539265,-0.0661143,-0.296316,9.99987,
3.72952,39.9405,3.11322,40.3974,0.767222,-0.0211603,-0.0819308,0.294482,-0.00565265,-0.0658671,-0.295386,9.99987,
3.77011,40.0134,3.11322,40.3974,0.760878,-0.0249146,-0.0850423,0.29357,-0.00792265,-0.0658239,-0.295456,9.99987,
3.80796,40.0517,3.18734,40.7617,0.942985,-0.0268731,-0.0906733,0.294348,-0.00757265,-0.0656663,-0.295896,10.1999,
3.84095,40.1024,3.18734,40.7617,0.928343,-0.0288464,-0.0916305,0.294074,-0.00740265,-0.0655267,-0.295636,10.1999,
3.86406,40.1612,3.18734,40.7617,0.904751,-0.0291853,-0.0920418,0.293911,-0.00699265,-0.065466,-0.294866,10.1999,
3.87126,40.2395,3.18734,40.7617,0.860489,-0.0258031,-0.092356,0.293933,-0.00316265,-0.0670284,-0.295596,10.1999,
3.88098,40.3147,3.18734,40.7617,0.825188,-0.0273385,-0.0936076,0.294759,-0.00193265,-0.0675376,-0.294976,10.1999,
3.89001,40.4154,3.26146,41.1134,0.939332,-0.0264663,-0.0915203,0.292594,-0.00233265,-0.0681216,-0.295216,10.1999,
3.92194,40.5146,3.26146,41.1134,0.89153,-0.0289721,-0.089154,0.292452,-0.00329265,-0.0684706,-0.295726,10.1999,
3.97861,40.6019,3.26146,41.1134,0.880897,-0.0352498,-0.0877716,0.292689,-0.00627265,-0.0657676,-0.295026,10.1999,
4.05612,40.6832,3.26146,41.1134,0.903631,-0.0416085,-0.0821585,0.290803,-0.0105927,-0.0617458,-0.294746,10.1999,
4.13193,40.739,3.33559,41.44,1.06092,-0.0433368,-0.0808866,0.289969,-0.0160527,-0.057904,-0.295626,10.2999,
4.19399,40.802,3.33559,41.44,1.06954,-0.0423048,-0.0752395,0.28858,-0.0176827,-0.0555314,-0.294946,10.2999,
4.25073,40.8819,3.33559,41.44,1.07192,-0.0429817,-0.0700106,0.286507,-0.0198327,-0.0531317,-0.294386,10.2999,
4.30559,40.9541,3.42824,41.7791,1.2043,-0.0444269,-0.067099,0.285634,-0.0230027,-0.0489533,-0.294686,10.2999,
4.33807,41.0485,3.42824,41.7791,1.16683,-0.0395382,-0.0598601,0.284175,-0.0230427,-0.0463068,-0.294756,10.2999,
4.34714,41.1131,3.42824,41.7791,1.13485,-0.0367175,-0.0605338,0.283485,-0.0202927,-0.0446397,-0.294066,10.2999,
4.33293,41.1649,3.42824,41.7791,1.09351,-0.0344433,-0.063571,0.282834,-0.0171627,-0.0426699,-0.294186,10.2999,
4.30318,41.2185,3.42824,41.7791,1.03915,-0.0298275,-0.0641921,0.282363,-0.0149527,-0.0422065,-0.294346,10.2999,
4.27243,41.2855,3.50236,42.1057,1.12502,-0.0255477,-0.0640913,0.279552,-0.0123227,-0.0440482,-0.294406,10.2999,
4.24292,41.4135,3.50236,42.1057,1.0137,-0.0193571,-0.0570857,0.277949,-0.00962265,-0.0440235,-0.294186,10.2999,
4.23182,41.4922,3.50236,42.1057,0.95317,-0.0228177,-0.0617222,0.277923,-0.00790265,-0.0453524,-0.294556,10.2999,
4.22283,41.592,3.50236,42.1057,0.884862,-0.0195901,-0.060023,0.277173,-0.00798265,-0.047339,-0.294386,10.2999,
4.21771,41.6952,3.59502,42.4198,0.955372,-0.0161054,-0.0605142,0.277227,-0.00632265,-0.0490248,-0.294626,10.3999,
4.21662,41.7926,3.59502,42.4198,0.883053,-0.0155411,-0.0618688,0.277963,-0.00432265,-0.0520404,-0.293746,10.3999,
4.21813,41.8891,3.59502,42.4198,0.818481,-0.014486,-0.0633581,0.275651,-0.00404265,-0.0524944,-0.293956,10.3999,
4.22542,41.9578,3.68767,42.7212,0.933749,-0.0149152,-0.0672275,0.276295,-0.00334265,-0.0528744,-0.294126,10.3999,
4.22812,42.0457,3.68767,42.7212,0.86512,-0.0116079,-0.0644883,0.275447,-0.00306265,-0.0535302,-0.294396,10.3999,
4.24218,42.1428,3.68767,42.7212,0.801275,-0.0116904,-0.062135,0.274536,-0.00420265,-0.0545556,-0.294236,10.3999,
4.27423,42.2351,3.68767,42.7212,0.761829,-0.0133314,-0.0600539,0.272994,-0.00623265,-0.0531505,-0.294836,10.3999,
4.31351,42.3295,3.78032,43.0227,0.874519,-0.0140805,-0.0557944,0.273798,-0.00674265,-0.0506151,-0.294706,10.3999,
4.33915,42.3964,3.78032,43.0227,0.839405,-0.0142339,-0.0566108,0.273877,-0.00624265,-0.049361,-0.294506,10.3999,
4.35835,42.4778,3.78032,43.0227,0.794411,-0.0136333,-0.052927,0.273207,-0.00437265,-0.0464618,-0.293936,10.3999,
4.35116,42.5627,3.78032,43.0227,0.733104,-0.00846664,-0.0490996,0.270541,-0.00257265,-0.0435894,-0.293856,10.3999,
4.3496,42.6584,3.78032,43.0227,0.675879,-0.00670477,-0.0441165,0.269658,-0.00201265,-0.0422689,-0.293286,10.3999,
4.33719,42.7694,3.87298,43.3242,0.723409,-0.00130515,-0.0384476,0.267277,-0.000652654,-0.0404723,-0.293616,10.3999,
4.35423,42.8701,3.87298,43.3242,0.661646,-0.00428174,-0.0340424,0.266299,-0.000732654,-0.0387025,-0.293316,10.3999,
4.3835,42.9627,3.87298,43.3242,0.625536,-0.00559596,-0.0303918,0.264586,-0.00218265,-0.0356185,-0.293146,10.3999,
4.41609,43.0378,3.87298,43.3242,0.614005,-0.00619229,-0.0270546,0.264749,-0.00239265,-0.0314792,-0.293166,10.3999,
4.46913,43.0631,3.96563,43.6131,0.745691,-0.0142697,-0.0292034,0.264389,-0.00297265,-0.0293067,-0.293236,10.4998,
4.53024,43.1051,3.96563,43.6131,0.759482,-0.0194491,-0.0256254,0.26372,-0.00489265,-0.0282609,-0.293106,10.4998,
4.6008,43.1418,3.96563,43.6131,0.790942,-0.023814,-0.0245435,0.261554,-0.00947265,-0.027977,-0.294156,10.4998,
4.69242,43.1433,3.96563,43.6131,0.865417,-0.0310181,-0.0300661,0.262931,-0.0148127,-0.0298549,-0.294386,10.4998,
4.78553,43.132,4.05828,43.8894,1.05005,-0.0354744,-0.0357257,0.262258,-0.0190227,-0.0331625,-0.294656,10.6998,
4.87435,43.1567,4.05828,43.8894,1.09674,-0.0376354,-0.0367915,0.263412,-0.0234327,-0.0367326,-0.294876,10.6998,
4.9831,43.1541,4.05828,43.8894,1.1815,-0.0458251,-0.0439235,0.263572,-0.0305127,-0.0415283,-0.295236,10.6998,
5.09024,43.1665,4.05828,43.8894,1.25999,-0.0492457,-0.0478959,0.264278,-0.0359027,-0.0465327,-0.294946,10.6998,
