Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,0.0136257,-0.103478,0.299366,0.0211427,-0.065561,-0.299366,9.09989,
2.87683,38.0758,2.89084,38.4378,0.36223,0.00943289,-0.0990742,0.297436,0.0196727,-0.0625247,-0.297896,9.29988,
2.90753,38.1678,2.89084,38.4378,0.270498,0.00619895,-0.0920106,0.29726,0.0182227,-0.0614454,-0.296736,9.29988,
2.9566,38.2663,2.90937,38.8523,0.587852,-0.000160908,-0.09079,0.296626,0.0147227,-0.0604157,-0.296236,9.39988,
3.00577,38.4187,2.90937,38.8523,0.444225,0.0020677,-0.084507,0.296273,0.0129427,-0.0601922,-0.295926,9.39988,
3.04552,38.5636,2.94644,39.2417,0.685316,0.000654016,-0.0880867,0.297602,0.0133227,-0.0607306,-0.296996,9.59988,
3.09584,38.7066,2.94644,39.2417,0.55557,-0.00259865,-0.0877539,0.297301,0.0107127,-0.0626302,-0.298126,9.59988,
3.15537,38.8462,2.9835,39.6311,0.803457,-0.00787508,-0.0921849,0.299593,0.00813265,-0.0659657,-0.298276,9.69988,
3.22567,38.9782,2.9835,39.6311,0.696402,-0.0132656,-0.0937106,0.299496,0.00373265,-0.0678981,-0.297806,9.69988,
3.32538,39.1121,3.03909,40.0205,0.952427,-0.0206795,-0.0910565,0.298972,-0.00222265,-0.0679126,-0.297196,9.89987,
3.41731,39.2725,3.03909,40.0205,0.838212,-0.0197208,-0.0862204,0.298155,-0.00636265,-0.065988,-0.296236,9.89987,
3.47984,39.4408,3.11322,40.3974,1.02447,-0.0211603,-0.0819308,0.296709,-0.00565265,-0.0658671,-0.295386,9.99987,
3.54568,39.5374,3.18734,40.7617,1.27569,-0.0268731,-0.0906733,0.294742,-0.00757265,-0.0656663,-0.295896,10.1999,
3.59622,39.6415,3.18734,40.7617,1.19252,-0.0291853,-0.0920418,0.293212,-0.00699265,-0.065466,-0.294866,10.1999,
3.62201,39.7733,3.18734,40.7617,1.07976,-0.0273385,-0.0936076,0.29444,-0.00193265,-0.0675376,-0.294976,10.1999,
3.65356,39.9473,3.26146,41.1134,1.2303,-0.0289721,-0.089154,0.294685,-0.00329265,-0.0684706,-0.295726,10.1999,
3.74779,40.1008,3.26146,41.1134,1.12332,-0.0416085,-0.0821585,0.294443,-0.0105927,-0.0617458,-0.294746,10.1999,
3.84638,40.2203,3.33559,41.44,1.3223,-0.0423048,-0.0752395,0.292358,-0.0176827,-0.0555314,-0.294946,10.2999,
3.93467,40.3569,3.42824,41.7791,1.50964,-0.0444269,-0.067099,0.289173,-0.0230027,-0.0489533,-0.294686,10.2999,
3.98845,40.5019,3.42824,41.7791,1.39467,-0.0367175,-0.0605338,0.287294,-0.0202927,-0.0446397,-0.294066,10.2999,
3.98455,40.6289,3.42824,41.7791,1.27764,-0.0298275,-0.0641921,0.286268,-0.0149527,-0.0422065,-0.294346,10.2999,
3.97003,40.8387,3.50236,42.1057,1.35054,-0.0193571,-0.0570857,0.286701,-0.00962265,-0.0440235,-0.294186,10.2999,
3.96404,41.0169,3.50236,42.1057,1.18262,-0.0195901,-0.060023,0.287156,-0.00798265,-0.047339,-0.294386,10.2999,
3.96948,41.2005,3.59502,42.4198,1.27546,-0.0155411,-0.0618688,0.287377,-0.00432265,-0.0520404,-0.293746,10.3999,
3.98339,41.3544,3.68767,42.7212,1.39842,-0.0149152,-0.0672275,0.287295,-0.00334265,-0.0528744,-0.294126,10.3999,
4.00748,41.5386,3.68767,42.7212,1.22513,-0.0116904,-0.062135,0.285754,-0.00420265,-0.0545556,-0.294236,10.3999,
4.05978,41.7215,3.78032,43.0227,1.33086,-0.0140805,-0.0557944,0.2836,-0.00674265,-0.0506151,-0.294706,10.3999,
4.09726,41.8721,3.78032,43.0227,1.19347,-0.0136333,-0.052927,0.281868,-0.00437265,-0.0464618,-0.293936,10.3999,
4.10809,42.0465,3.78032,43.0227,1.0298,-0.00670477,-0.0441165,0.279151,-0.00201265,-0.0422689,-0.293286,10.3999,
4.12334,42.2355,3.87298,43.3242,1.11714,-0.00428174,-0.0340424,0.276085,-0.000732654,-0.0387025,-0.293316,10.3999,
4.16004,42.3884,3.87298,43.3242,0.978878,-0.00619229,-0.0270546,0.272115,-0.00239265,-0.0314792,-0.293166,10.3999,
4.22334,42.4659,3.96563,43.6131,1.17577,-0.0194491,-0.0256254,0.267465,-0.00489265,-0.0282609,-0.293106,10.4998,
4.34098,42.4924,3.96563,43.6131,1.18185,-0.0310181,-0.0300661,0.26859,-0.0148127,-0.0298549,-0.294386,10.4998,
4.48722,42.5239,4.05828,43.8894,1.43124,-0.0376354,-0.0367915,0.268861,-0.0234327,-0.0367326,-0.294876,10.6998,
4.64969,42.5232,4.05828,43.8894,1.48874,-0.0492457,-0.0478959,0.267462,-0.0359027,-0.0465327,-0.294946,10.6998,
4.79921,42.5736,4.15094,44.1658,1.71908,-0.0522661,-0.050664,0.266948,-0.0410127,-0.0495364,-0.294366,10.9998,
