Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,
0,0,-0.0121545,0.028001,0.0305252,0.102232,-0.00522858,0,-0.00265293,0.000160342,-0.00858821,
-0.021276,0.000248982,-0.0103909,0.0274864,0.0293319,0.107138,-0.00522437,0,0.00173994,0.000248417,-0.00880074,
0.0841203,0.0157634,-0.0118101,0.0268815,0.0965725,0.0771292,-0.00453808,0,-0.00192019,0.000107837,-0.00885879,
0.196917,0.0225792,-0.012957,0.0262418,0.209906,0.069471,-0.00354941,0,0.00642967,0.00031665,-0.00892242,
0.306304,0.0320245,-0.0127877,0.0256422,0.319155,0.0658788,-0.00287273,0,0.00322465,0.000122515,-0.00912787,
0.473025,0.0578598,-0.0117005,0.0250051,0.485837,0.0441567,-0.00202854,0,-0.00177964,0.000146631,-0.00909086,
0.622296,0.0818197,-0.0137324,0.0242724,0.638627,0.0226958,-0.00145823,0,-0.0049448,1.58311e-05,-0.00933165,
0.776016,0.105225,-0.0156685,0.0236426,0.795877,0.00879341,-0.000526311,0,-0.00108646,0.000237448,-0.0094001,
0.904537,0.124606,-0.0152532,0.0229054,0.925396,0.0114184,-0.00112043,0,0.00444397,4.94396e-05,-0.00961538,
1.04213,0.150859,-0.0129522,0.0222484,1.06289,-0.00200587,-0.00163765,0,-0.0037631,8.80707e-05,-0.00949035,
1.09998,0.152765,-0.0143717,0.0214998,1.12205,-0.0104329,-0.000181206,0,-0.00399964,-1.43445e-05,-0.00970842,
1.05855,0.134314,-0.0169465,0.0207479,1.08147,-0.00237061,0.0013019,0,0.00317497,-0.000118814,-0.00985851,
1.00661,0.127889,-0.0152403,0.0199928,1.02754,0.0106562,0.000207933,0,0.00468786,-0.000392056,-0.00991386,
1.06517,0.133489,-0.0135814,0.0193134,1.08478,0.00141116,0.000842385,0,-0.00300946,-0.00050717,-0.0100668,
1.1239,0.146044,-0.0154615,0.0186173,1.14647,-0.00952992,1.18441e-05,0,-0.00419902,-0.000718601,-0.0100898,
1.09049,0.144378,-0.0173714,0.0180412,1.11505,-0.00539014,8.69286e-05,0,-0.000779461,-0.0007735,-0.0103314,
1.05063,0.138349,-0.0160697,0.0175208,1.07352,0.00458974,7.22593e-05,0,0.00547827,-0.000948124,-0.0104068,
1.0535,0.139284,-0.0138724,0.017155,1.07434,0.00685232,-0.000319696,0,0.00407952,-0.000944273,-0.0104265,
1.0918,0.142594,-0.0135541,0.0167959,1.11249,-0.00487718,-7.09397e-06,0,-0.0049914,-0.00108706,-0.0106482,
1.0832,0.143828,-0.0142907,0.0166443,1.10484,-0.00679957,-0.000451662,0,-0.00273987,-0.00100142,-0.0106139,
1.05265,0.140784,-0.0161794,0.0165709,1.07602,0.00307848,-0.000394517,0,0.00422776,-0.000944148,-0.0106892,
1.10202,0.145312,-0.0158649,0.0166578,1.12526,-0.00142746,0.000748123,0,0.00221529,-0.000783736,-0.010725,
1.1393,0.152706,-0.0128475,0.016784,1.16014,-0.0067072,-0.000121318,0,-0.00590722,-0.000769713,-0.0107281,
1.14111,0.167552,-0.013221,0.0169966,1.1641,-0.00890447,-0.00193008,0,0.000301403,-0.000616239,-0.0108113,
1.0862,0.154727,-0.0155367,0.0172137,1.11029,0.00353349,-0.00041089,0,0.00416111,-0.000594369,-0.010719,
1.06967,0.146453,-0.0152611,0.0175453,1.09257,0.0091465,0.00016345,0,0.00352373,-0.000489731,-0.0109334,
1.14218,0.163407,-0.0124959,0.0178555,1.16381,-0.00569425,-0.00175254,0,-0.00596437,-0.000499557,-0.0109845,
1.13882,0.157422,-0.0153367,0.0182309,1.16252,-0.00843064,-2.59206e-05,0,-0.00100557,-0.000389373,-0.0110772,
1.05736,0.14123,-0.0156882,0.0187182,1.08002,0.00438639,-3.84686e-05,0,0.00550898,-0.000358609,-0.0111183,
1.04927,0.142913,-0.0160077,0.0192042,1.07244,0.00809039,-0.00132962,0,0.00322036,-0.000289013,-0.0110437,
1.08595,0.143227,-0.0133051,0.0196989,1.10617,0.00159902,-0.000924475,0,-0.00187695,-0.000336892,-0.011127,
1.11306,0.141054,-0.0132525,0.0202529,1.13277,-0.00882875,0.000224628,0,-0.00498814,-0.000182709,-0.0111876,
1.05228,0.13364,-0.0160123,0.0207616,1.07424,0.0026801,-0.000228395,0,0.00524423,-0.000145147,-0.0114469,
1.04544,0.136559,-0.0127651,0.02133,1.06446,0.00809537,-0.00104661,0,0.00261588,0.000112473,-0.0114049,
1.11995,0.142292,-0.0132799,0.0219298,1.13961,-0.00364041,0.000421271,0,-0.00510816,6.02289e-05,-0.0113421,
1.15358,0.148131,-0.0133309,0.022451,1.17366,-0.00953664,-0.000249177,0,-0.00356865,4.46053e-05,-0.011446,
1.12991,0.142631,-0.0158519,0.0229563,1.152,-0.00634075,0.000259172,0,-0.000810499,8.63411e-05,-0.0113688,
1.04726,0.128972,-0.0166597,0.0234973,1.06913,0.0114921,0.000302711,0,0.00453503,0.00022043,-0.0114902,
1.11795,0.141136,-0.0148402,0.0240102,1.13883,0.000739924,0.000102696,0,-0.00262719,0.000196033,-0.0116455,
1.15396,0.147192,-0.0136095,0.0244617,1.174,-0.00621298,-2.15912e-05,0,-0.00597617,0.00010029,-0.0116957,
1.12606,0.147561,-0.015971,0.0248539,1.14861,-0.00399532,-0.000831397,0,0.000847034,-7.29686e-05,-0.0115989,
1.0761,0.135115,-0.0175508,0.025315,1.09915,0.00749354,0.000391599,0,0.00545434,2.85142e-05,-0.0113685,
1.12643,0.148148,-0.0149895,0.025839,1.14796,0.00293522,-0.000837904,0,-0.00248589,0.000119669,-0.0113564,
1.17043,0.152965,-0.0147466,0.0263377,1.19192,-0.00611174,0.00012863,0,-0.00586523,0.000269079,-0.011515,
1.1405,0.149766,-0.0177689,0.0266524,1.16479,-0.00488587,0.000735474,0,-0.000597494,4.3307e-05,-0.0114637,
1.10465,0.149075,-0.0185901,0.0270153,1.12985,0.00293575,-9.61121e-05,0,0.00414695,-0.00014477,-0.0115474,
1.11547,0.154062,-0.0164041,0.0274451,1.13894,0.00549787,-0.000391172,0,0.0012142,-0.000175681,-0.0115592,
1.18493,0.165215,-0.0163739,0.0279585,1.20912,-0.00800444,4.99124e-05,0,-0.00627139,3.31329e-05,-0.0118018,
1.16302,0.165696,-0.0195926,0.0283936,1.19055,-0.00698896,-0.000465233,0,-0.00266658,9.84175e-05,-0.0115959,
1.08675,0.158194,-0.0203419,0.0288237,1.11462,0.00625089,-0.000105537,0,0.00507593,0.000133129,-0.0116188,
