Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
1.779,32.6471,1.779,32.6471,0,-0.0879985,0.0513542,-0.236444,-0.0859527,-0.00851343,0.236444,27.1999,
1.81558,32.732,1.779,32.6471,0.0924775,-0.0774935,0.0478396,-0.26092,-0.0797327,-0.0107499,0.247284,27.1999,
1.95662,32.9844,2.09402,33.9535,0.978761,-0.0724079,0.0442067,-0.270595,-0.0720027,-0.0128004,0.255664,27.8999,
2.1919,33.3828,2.09402,33.9535,0.579005,-0.064974,0.035202,-0.286715,-0.0605227,-0.0176924,0.267104,27.8999,
2.50712,33.8459,2.09402,33.9535,0.426886,-0.0567581,0.03294,-0.293867,-0.0554227,-0.0186263,0.278204,27.8999,
2.8244,34.3953,2.09402,33.9535,0.85363,-0.0464366,0.0311248,-0.305856,-0.0482727,-0.0177106,0.287144,27.8999,
3.08815,34.9421,2.39051,35.2347,0.756503,-0.0425332,0.0297489,-0.316972,-0.0413427,-0.0180053,0.294454,28.4999,
3.33231,35.4305,2.39051,35.2347,0.961938,-0.0412524,0.0319105,-0.327374,-0.0374327,-0.0164846,0.303294,28.4999,
3.50447,35.9151,2.39051,35.2347,1.30534,-0.0410779,0.034725,-0.337155,-0.0331627,-0.0114579,0.308804,28.4999,
3.65471,36.4203,2.39051,35.2347,1.73314,-0.036658,0.0394431,-0.340388,-0.0269327,-0.00732864,0.313714,28.4999,
3.80439,36.8935,2.72406,36.4783,1.15738,-0.037307,0.0465858,-0.346004,-0.0231027,0.000285628,0.316774,29.0999,
3.92413,37.343,2.72406,36.4783,1.47913,-0.0346007,0.0574292,-0.348012,-0.0211427,0.00964481,0.316114,29.0999,
3.97428,37.8527,2.72406,36.4783,1.85794,-0.0348,0.0650055,-0.346122,-0.0207427,0.0193951,0.315824,29.0999,
3.96251,38.3712,2.72406,36.4783,2.26204,-0.0352117,0.0726985,-0.345063,-0.0192527,0.028773,0.317324,29.0999,
3.92697,38.8986,3.03908,37.6842,1.50439,-0.0372729,0.0789005,-0.346482,-0.0199127,0.0371922,0.315414,29.5999,
3.80572,39.3868,3.03908,37.6842,1.86722,-0.0428262,0.0864725,-0.340894,-0.0232327,0.0446714,0.314914,29.5999,
3.61099,39.8442,3.03908,37.6842,2.23439,-0.0477214,0.093001,-0.339803,-0.0281127,0.054972,0.314134,29.5999,
3.41426,40.3202,3.03908,37.6842,2.66261,-0.0493516,0.0993063,-0.338723,-0.0310427,0.0641218,0.312544,29.5999,
3.271,40.7302,3.35411,38.865,1.86707,-0.0498218,0.109001,-0.335414,-0.0313527,0.0707988,0.312054,29.9999,
3.15048,41.1459,3.35411,38.865,2.29,-0.0504129,0.119567,-0.332405,-0.0310427,0.0827909,0.312344,29.9999,
3.05599,41.5201,3.35411,38.865,2.67182,-0.049134,0.137046,-0.325102,-0.0319427,0.0999808,0.310904,29.9999,
2.96817,41.6861,3.35411,38.865,2.84743,-0.0480904,0.169442,-0.311446,-0.0304727,0.123532,0.311454,29.9999,
2.93187,41.8151,3.66913,40.0081,1.95161,-0.0437292,0.205334,-0.301441,-0.0275427,0.157467,0.310784,30.2999,
2.93363,42.1388,3.66913,40.0081,2.25409,-0.036063,0.235321,-0.294583,-0.0227927,0.18861,0.310364,30.2999,
2.97564,42.4031,3.66913,40.0081,2.49335,-0.0295361,0.269497,-0.28558,-0.0136527,0.22781,0.312094,30.2999,
3.11328,42.6871,3.66913,40.0081,2.73601,-0.021484,0.299222,-0.288158,-0.00746265,0.253844,0.313714,30.2999,
3.26764,43.1241,3.96562,41.0632,2.17588,-0.0132332,0.321836,-0.287076,0.00658265,0.29272,0.313774,30.4999,
3.53049,43.5794,3.96562,41.0632,2.55356,-0.00232097,0.343096,-0.286599,0.0162027,0.310071,0.315634,30.4999,
3.94678,44.1842,3.96562,41.0632,3.12105,0.0155756,0.356989,-0.288488,0.0293627,0.329106,0.317324,30.4999,
4.45233,44.8729,3.96562,41.0632,3.84071,0.0306489,0.363997,-0.293345,0.0419527,0.337594,0.318214,30.4999,
5.00052,45.5358,4.26211,42.043,3.56997,0.0451176,0.368946,-0.290775,0.0557127,0.342381,0.320164,30.4999,
5.5665,46.4014,4.26211,42.043,4.5494,0.0567253,0.361578,-0.292276,0.0724227,0.342444,0.321534,30.4999,
6.1527,47.3293,4.26211,42.043,5.61419,0.0668697,0.352954,-0.292816,0.0870727,0.334813,0.322124,30.4999,
6.70798,48.2012,4.26211,42.043,6.62617,0.0746643,0.343208,-0.291951,0.0937227,0.32853,0.323104,30.4999,
7.25649,48.9888,4.52154,42.9223,6.65449,0.0824519,0.333852,-0.29867,0.0983827,0.320472,0.322194,30.5999,
7.53922,49.8306,4.52154,42.9223,7.53862,0.0813071,0.314972,-0.298312,0.101973,0.308348,0.322004,30.5999,
7.70932,50.5587,4.52154,42.9223,8.27502,0.0790536,0.297642,-0.301328,0.104833,0.291396,0.321504,30.5999,
7.64592,51.2313,4.52154,42.9223,8.87698,0.0657354,0.276134,-0.300856,0.0985927,0.273328,0.320984,30.5999,
7.42915,51.7257,4.76244,43.6634,8.49184,0.0558054,0.258227,-0.301446,0.0883827,0.257638,0.319144,30.5998,
7.15207,52.0957,4.76244,43.6634,8.76438,0.0510675,0.238531,-0.304809,0.0795127,0.240413,0.319194,30.5998,
6.79572,52.31,4.76244,43.6634,8.88243,0.0411965,0.222381,-0.308868,0.0707027,0.224045,0.320054,30.5998,
6.34651,52.3771,4.76244,43.6634,8.85649,0.0286042,0.207756,-0.312518,0.0562427,0.207279,0.321364,30.5998,
5.86994,52.4137,4.96628,44.2664,8.19729,0.0193309,0.19103,-0.314867,0.0401627,0.190747,0.322114,30.6998,
5.39597,52.3749,4.96628,44.2664,8.11985,0.0115574,0.178404,-0.31823,0.0304927,0.178194,0.324744,30.6998,
4.82306,52.3612,4.96628,44.2664,8.09602,-0.00507004,0.16401,-0.317388,0.0184327,0.166773,0.327044,30.6998,
4.1731,52.388,4.96628,44.2664,8.16024,-0.0208993,0.150379,-0.309342,0.00682265,0.157184,0.328914,30.6998,
