Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,0.0109039,-0.103274,0.299466,0.0181827,-0.0645381,-0.299466,9.09989,
2.87151,38.06,2.87231,38.0358,0.0242429,0.0136257,-0.103478,0.2996,0.0211427,-0.065561,-0.299366,9.09989,
2.87814,38.1433,2.89084,38.4378,0.294775,0.0129674,-0.0983754,0.301974,0.0216127,-0.0643507,-0.298566,9.29988,
2.89718,38.2114,2.89084,38.4378,0.226532,0.00943289,-0.0990742,0.300085,0.0196727,-0.0625247,-0.297896,9.29988,
2.92678,38.2991,2.89084,38.4378,0.14328,0.00799365,-0.0953693,0.299847,0.0184927,-0.0625626,-0.297996,9.29988,
2.95806,38.4042,2.89084,38.4378,0.0751663,0.00619895,-0.0920106,0.300559,0.0182227,-0.0614454,-0.296736,9.29988,
2.98501,38.5123,2.90937,38.8523,0.348271,0.00460269,-0.0894377,0.300065,0.0168627,-0.0602638,-0.296116,9.39988,
3.02804,38.5964,2.90937,38.8523,0.282039,-0.000160908,-0.09079,0.299758,0.0147227,-0.0604157,-0.296236,9.39988,
3.06452,38.6938,2.90937,38.8523,0.221774,-0.00135105,-0.0886827,0.300232,0.0134027,-0.0591442,-0.296106,9.39988,
3.08872,38.816,2.90937,38.8523,0.182989,0.0020677,-0.084507,0.300805,0.0129427,-0.0601922,-0.295926,9.39988,
3.09775,38.9464,2.94644,39.2417,0.331793,0.00545988,-0.0833387,0.301425,0.0135227,-0.0610434,-0.296966,9.59988,
3.1222,39.0395,2.94644,39.2417,0.267905,0.000654016,-0.0880867,0.303257,0.0133227,-0.0607306,-0.296996,9.59988,
3.1505,39.1425,2.94644,39.2417,0.226904,-0.00102905,-0.0851964,0.302528,0.0118427,-0.06048,-0.297436,9.59988,
3.1822,39.2263,2.94644,39.2417,0.236258,-0.00259865,-0.0877539,0.302597,0.0107127,-0.0626302,-0.298126,9.59988,
3.21264,39.324,2.9835,39.6311,0.383136,-0.00379616,-0.0879256,0.303496,0.00999265,-0.0646245,-0.298696,9.69988,
3.25187,39.4,2.9835,39.6311,0.354181,-0.00787508,-0.0921849,0.304174,0.00813265,-0.0659657,-0.298276,9.69988,
3.29237,39.4715,2.9835,39.6311,0.347677,-0.00991838,-0.0939875,0.303943,0.00659265,-0.0666716,-0.298716,9.69988,
3.3401,39.5488,2.9835,39.6311,0.365977,-0.0132656,-0.0937106,0.302902,0.00373265,-0.0678981,-0.297806,9.69988,
3.40215,39.6551,3.03909,40.0205,0.515069,-0.0166869,-0.0895469,0.301632,-0.000312654,-0.0684781,-0.297296,9.89987,
3.46,39.7319,3.03909,40.0205,0.510357,-0.0206795,-0.0910565,0.302046,-0.00222265,-0.0679126,-0.297196,9.89987,
3.51654,39.7988,3.03909,40.0205,0.526425,-0.0237613,-0.0927595,0.301001,-0.00504265,-0.0670568,-0.296596,9.89987,
3.55615,39.8948,3.03909,40.0205,0.532114,-0.0197208,-0.0862204,0.296454,-0.00636265,-0.065988,-0.296236,9.89987,
3.58797,39.9831,3.11322,40.3974,0.630092,-0.0207743,-0.0859181,0.295937,-0.00539265,-0.0661143,-0.296316,9.99987,
3.612,40.0889,3.11322,40.3974,0.5865,-0.0211603,-0.0819308,0.294382,-0.00565265,-0.0658671,-0.295386,9.99987,
3.64713,40.1687,3.11322,40.3974,0.580837,-0.0249146,-0.0850423,0.29347,-0.00792265,-0.0658239,-0.295456,9.99987,
3.67969,40.2123,3.18734,40.7617,0.737705,-0.0268731,-0.0906733,0.294248,-0.00757265,-0.0656663,-0.295896,10.1999,
3.70762,40.2681,3.18734,40.7617,0.717201,-0.0288464,-0.0916305,0.293974,-0.00740265,-0.0655267,-0.295636,10.1999,
3.72691,40.3315,3.18734,40.7617,0.690097,-0.0291853,-0.0920418,0.293811,-0.00699265,-0.065466,-0.294866,10.1999,
3.73168,40.4155,3.18734,40.7617,0.645121,-0.0258031,-0.092356,0.293833,-0.00316265,-0.0670284,-0.295596,10.1999,
